18.564,22.528
13.211,16.951
14.74,16.117
21.271,17.331
44.508,29.296
40.129,28.526
10.553,16.904
120.17,41.38
15.515,19.648
19.635,20.381
182.93,50.972
523.17,95.51
888.06,115.47
138.57,47.61
985.6,140.01
127.96,49.905
107.38,42.991
45.853,30.463
72.444,36.732
96.297,42.109
13.87,18.092
596.32,88.35
13.467,15.717
74.537,38.215
450.05,98.457
61.528,32.796
168.64,47.866
433.79,79.537
592.2,89.195
728.15,99.5
24.075,23.236
32.898,25.195
624.79,90.312
153.72,48.819
101.78,36.824
168.12,48.615
435.36,70.081
115.82,42.655
25.36,20.242
80.87,35.557
71.75,35.164
855.27,97.316
173.82,53.887
245.91,65.262
275.63,60.04
49.407,34.068
108.14,36.691
129.83,45.493
20.558,17.592
133.08,46.227
245.25,54.692
71.271,34.07
470.48,78.252
290.25,59.944
52.488,24.995
80.989,40.452
59.262,39.922
355.72,91.089
294.13,65.043
72.536,36.268
244.06,59.971
777.01,106.72
370.22,68.902
257.72,52.087
16.545,18.668
60.237,29.407
151.99,41.157
82.939,47.889
12.609,16.193
28.667,24.963
465.99,94.183
10.747,12.83
533.85,93.153
14.326,18.442
217.81,60.257
100.1,42.782
27.289,22.229
139.07,52.366
17.554,17.606
219.95,55.244
158.19,55.503
12.941,19.604
12.962,16.139
20.184,19.454
10.946,16.192
74.191,40.754
461.79,91.918
171.7,55.145
109.71,41.108
534.24,95.122
15.682,18.145
654.79,111.57
16.445,16.054
108.14,44.225
19.334,22.688
131.44,45.255
10.213,14.138
341.48,66.332
498.22,84.302
681.78,97.863
